,NO_5_NO_1,NO_1_NO_5,NO_5_NO_2,NO_2_NO_5,NO_5_NO_3,NO_3_NO_5,NO_5_NO_1_net_export,NO_5_NO_2_net_export,NO_5_NO_3_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,626.45,0.0,0.0,945.9,155.2,0.025,626.45,-945.9,155.17499999999998,-164.27499999999995,None,NO_5,2026-04-23
2026-01-01 01:00:00+00:00,116.55,72.625,0.0,519.75,211.65,0.0,43.925,-519.75,211.65,-264.17499999999995,None,NO_5,2026-04-23
2026-01-01 02:00:00+00:00,436.225,7.625,0.0,768.4,228.9,0.0,428.6,-768.4,228.9,-110.89999999999995,None,NO_5,2026-04-23
2026-01-01 03:00:00+00:00,879.675,0.0,0.0,753.725,0.0,0.0,879.675,-753.725,0.0,125.94999999999993,None,NO_5,2026-04-23
2026-01-01 04:00:00+00:00,83.85,15.5,0.0,897.15,1114.65,0.0,68.35,-897.15,1114.65,285.85000000000014,None,NO_5,2026-04-23
2026-01-01 05:00:00+00:00,1412.25,0.0,0.0,704.35,0.0,334.525,1412.25,-704.35,-334.525,373.375,None,NO_5,2026-04-23
2026-01-01 06:00:00+00:00,0.0,0.0,0.1,0.025,488.175,0.0,0.0,0.07500000000000001,488.175,488.25,None,NO_5,2026-04-23
2026-01-01 07:00:00+00:00,340.275,0.0,0.0,0.0,312.55,0.0,340.275,0.0,312.55,652.825,None,NO_5,2026-04-23
2026-01-01 08:00:00+00:00,225.375,14.725,0.0,16.625,460.2,0.0,210.65,-16.625,460.2,654.225,None,NO_5,2026-04-23
2026-01-01 09:00:00+00:00,500.95,9.75,0.0,16.625,437.925,0.0,491.2,-16.625,437.925,912.5,None,NO_5,2026-04-23
2026-01-01 10:00:00+00:00,0.0,20.225,0.0,17.325,1044.5,0.0,-20.225,-17.325,1044.5,1006.95,None,NO_5,2026-04-23
2026-01-01 11:00:00+00:00,155.425,12.925,0.0,20.275,163.5,0.0,142.5,-20.275,163.5,285.725,None,NO_5,2026-04-23
2026-01-01 12:00:00+00:00,369.325,19.575,0.0,274.225,359.025,0.0,349.75,-274.225,359.025,434.54999999999995,None,NO_5,2026-04-23
2026-01-01 13:00:00+00:00,587.825,6.625,0.0,276.825,186.95,0.0,581.2,-276.825,186.95,491.32500000000005,None,NO_5,2026-04-23
2026-01-01 14:00:00+00:00,419.4,6.775,0.0,336.825,113.8,0.0,412.625,-336.825,113.8,189.60000000000002,None,NO_5,2026-04-23
2026-01-01 15:00:00+00:00,442.125,4.575,0.0,329.875,55.7,0.0,437.55,-329.875,55.7,163.375,None,NO_5,2026-04-23
2026-01-01 16:00:00+00:00,1186.075,0.0,0.0,788.275,0.0,0.0,1186.075,-788.275,0.0,397.80000000000007,None,NO_5,2026-04-23
2026-01-01 17:00:00+00:00,213.65,0.0,0.0,0.25,99.975,0.0,213.65,-0.25,99.975,313.375,None,NO_5,2026-04-23
2026-01-01 18:00:00+00:00,476.95,0.0,0.0,324.825,0.0,0.0,476.95,-324.825,0.0,152.125,None,NO_5,2026-04-23
2026-01-01 19:00:00+00:00,14.85,74.55,0.0,5.675,0.35,10.35,-59.699999999999996,-5.675,-10.0,-75.375,None,NO_5,2026-04-23
2026-01-01 20:00:00+00:00,378.6,105.425,0.0,432.575,5.35,36.225,273.175,-432.575,-30.875,-190.27499999999998,None,NO_5,2026-04-23
2026-01-01 21:00:00+00:00,0.0,158.825,0.0,418.425,373.65,0.0,-158.825,-418.425,373.65,-203.60000000000002,None,NO_5,2026-04-23
2026-01-01 22:00:00+00:00,64.375,0.0,0.0,18.45,0.0,0.0,64.375,-18.45,0.0,45.925,None,NO_5,2026-04-23
2026-01-01 23:00:00+00:00,474.175,0.0,0.0,11.9,0.0,0.0,474.175,-11.9,0.0,462.27500000000003,None,NO_5,2026-04-23
2026-01-02 00:00:00+00:00,229.95,0.0,0.0,16.525,0.0,0.0,229.95,-16.525,0.0,213.42499999999998,None,NO_5,2026-04-23
2026-01-02 01:00:00+00:00,123.9,0.0,0.0,5.625,0.0,0.0,123.9,-5.625,0.0,118.275,None,NO_5,2026-04-23
2026-01-02 02:00:00+00:00,245.875,0.0,0.0,12.075,0.0,0.0,245.875,-12.075,0.0,233.8,None,NO_5,2026-04-23
2026-01-02 03:00:00+00:00,242.6,0.0,0.0,11.5,0.0,0.0,242.6,-11.5,0.0,231.1,None,NO_5,2026-04-23
2026-01-02 04:00:00+00:00,274.7,0.0,0.0,13.1,0.0,0.0,274.7,-13.1,0.0,261.59999999999997,None,NO_5,2026-04-23
2026-01-02 05:00:00+00:00,443.325,0.0,0.0,5.5,0.0,0.0,443.325,-5.5,0.0,437.825,None,NO_5,2026-04-23
2026-01-02 06:00:00+00:00,886.975,0.0,0.75,0.0,4.15,0.0,886.975,0.75,4.15,891.875,None,NO_5,2026-04-23
2026-01-02 07:00:00+00:00,884.375,0.0,0.0,11.55,0.0,0.0,884.375,-11.55,0.0,872.825,None,NO_5,2026-04-23
2026-01-02 08:00:00+00:00,836.7,0.0,0.05,0.0,0.0,0.0,836.7,0.05,0.0,836.75,None,NO_5,2026-04-23
2026-01-02 09:00:00+00:00,478.9,0.0,0.0,0.0,0.0,0.0,478.9,0.0,0.0,478.9,None,NO_5,2026-04-23
2026-01-02 10:00:00+00:00,486.9,0.0,0.0,0.0,0.0,0.0,486.9,0.0,0.0,486.9,None,NO_5,2026-04-23
2026-01-02 11:00:00+00:00,578.975,0.0,0.0,0.0,0.05,0.0,578.975,0.0,0.05,579.025,None,NO_5,2026-04-23
2026-01-02 12:00:00+00:00,746.9,0.0,0.0,0.0,0.0,0.0,746.9,0.0,0.0,746.9,None,NO_5,2026-04-23
2026-01-02 13:00:00+00:00,982.475,0.0,0.0,2.65,0.0,0.0,982.475,-2.65,0.0,979.825,None,NO_5,2026-04-23
2026-01-02 14:00:00+00:00,1952.425,0.0,0.0,12.025,0.0,0.0,1952.425,-12.025,0.0,1940.3999999999999,None,NO_5,2026-04-23
2026-01-02 15:00:00+00:00,2144.15,0.0,60.7,1.475,0.0,0.0,2144.15,59.225,0.0,2203.375,None,NO_5,2026-04-23
2026-01-02 16:00:00+00:00,2242.525,0.0,19.6,0.0,0.0,0.0,2242.525,19.6,0.0,2262.125,None,NO_5,2026-04-23
2026-01-02 17:00:00+00:00,1734.425,0.0,821.25,0.0,0.0,0.0,1734.425,821.25,0.0,2555.675,None,NO_5,2026-04-23
2026-01-02 18:00:00+00:00,1513.5,0.0,978.6,0.0,0.0,0.0,1513.5,978.6,0.0,2492.1,None,NO_5,2026-04-23
2026-01-02 19:00:00+00:00,1304.4,0.0,1100.725,0.0,0.0,0.0,1304.4,1100.725,0.0,2405.125,None,NO_5,2026-04-23
2026-01-02 20:00:00+00:00,1286.075,0.0,1097.45,0.0,0.0,0.0,1286.075,1097.45,0.0,2383.525,None,NO_5,2026-04-23
2026-01-02 21:00:00+00:00,665.6,0.0,1533.85,0.0,0.3,0.0,665.6,1533.85,0.3,2199.75,None,NO_5,2026-04-23
2026-01-02 22:00:00+00:00,585.625,0.0,1832.15,0.0,0.0,0.0,585.625,1832.15,0.0,2417.775,None,NO_5,2026-04-23
2026-01-02 23:00:00+00:00,605.05,0.0,1548.025,0.0,0.35,8.525,605.05,1548.025,-8.175,2144.8999999999996,None,NO_5,2026-04-23
2026-01-03 00:00:00+00:00,644.225,0.0,1475.5,0.0,0.0,17.65,644.225,1475.5,-17.65,2102.075,None,NO_5,2026-04-23
2026-01-03 01:00:00+00:00,428.925,0.0,1562.975,0.0,0.0,2.775,428.925,1562.975,-2.775,1989.1249999999998,None,NO_5,2026-04-23
2026-01-03 02:00:00+00:00,466.175,0.0,1472.175,0.0,6.85,0.0,466.175,1472.175,6.85,1945.1999999999998,None,NO_5,2026-04-23
2026-01-03 03:00:00+00:00,983.15,0.0,732.45,0.0,21.825,0.0,983.15,732.45,21.825,1737.425,None,NO_5,2026-04-23
2026-01-03 04:00:00+00:00,799.25,0.0,947.25,0.0,22.95,0.0,799.25,947.25,22.95,1769.45,None,NO_5,2026-04-23
2026-01-03 05:00:00+00:00,724.75,0.0,1244.55,0.0,29.35,0.0,724.75,1244.55,29.35,1998.6499999999999,None,NO_5,2026-04-23
2026-01-03 06:00:00+00:00,1119.85,0.0,1209.8,0.0,13.325,0.0,1119.85,1209.8,13.325,2342.9749999999995,None,NO_5,2026-04-23
2026-01-03 07:00:00+00:00,1492.225,0.0,1061.5,0.0,35.15,0.0,1492.225,1061.5,35.15,2588.875,None,NO_5,2026-04-23
2026-01-03 08:00:00+00:00,1757.575,0.0,788.25,0.0,64.75,0.0,1757.575,788.25,64.75,2610.575,None,NO_5,2026-04-23
2026-01-03 09:00:00+00:00,1920.8,0.0,627.4,0.0,52.925,0.0,1920.8,627.4,52.925,2601.125,None,NO_5,2026-04-23
2026-01-03 10:00:00+00:00,2357.625,0.0,287.575,0.0,46.85,0.0,2357.625,287.575,46.85,2692.0499999999997,None,NO_5,2026-04-23
2026-01-03 11:00:00+00:00,2450.8,0.0,131.675,0.0,39.75,0.0,2450.8,131.675,39.75,2622.2250000000004,None,NO_5,2026-04-23
2026-01-03 12:00:00+00:00,2481.025,0.0,5.475,28.05,40.425,0.0,2481.025,-22.575000000000003,40.425,2498.8750000000005,None,NO_5,2026-04-23
2026-01-03 13:00:00+00:00,2389.625,0.0,293.6,0.0,23.925,0.0,2389.625,293.6,23.925,2707.15,None,NO_5,2026-04-23
2026-01-03 14:00:00+00:00,2356.25,0.0,205.525,0.0,41.05,0.0,2356.25,205.525,41.05,2602.8250000000003,None,NO_5,2026-04-23
2026-01-03 15:00:00+00:00,2409.625,0.0,29.4,8.2,53.1,0.0,2409.625,21.2,53.1,2483.9249999999997,None,NO_5,2026-04-23
2026-01-03 16:00:00+00:00,2282.4,0.0,133.7,0.0,51.0,0.0,2282.4,133.7,51.0,2467.1,None,NO_5,2026-04-23
2026-01-03 17:00:00+00:00,2255.5,0.0,244.425,0.0,52.775,0.0,2255.5,244.425,52.775,2552.7000000000003,None,NO_5,2026-04-23
2026-01-03 18:00:00+00:00,2063.8,0.0,660.475,0.0,38.625,0.0,2063.8,660.475,38.625,2762.9,None,NO_5,2026-04-23
2026-01-03 19:00:00+00:00,1838.625,0.0,879.75,0.0,14.675,0.0,1838.625,879.75,14.675,2733.05,None,NO_5,2026-04-23
2026-01-03 20:00:00+00:00,1923.175,0.0,763.225,0.0,2.175,0.0,1923.175,763.225,2.175,2688.5750000000003,None,NO_5,2026-04-23
2026-01-03 21:00:00+00:00,1921.0,0.0,693.975,0.0,4.9,0.0,1921.0,693.975,4.9,2619.875,None,NO_5,2026-04-23
