,RO_BG,BG_RO,RO_HU,HU_RO,RO_RS,RS_RO,RO_BG_net_export,RO_HU_net_export,RO_RS_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,1425.375,479.54999999999995,99.55,2058.425,259.0,0.0,945.825,-1958.8750000000002,259.0,-754.0500000000002,None,RO,2026-04-23
2026-01-01 01:00:00+00:00,1668.625,441.1,38.4,2119.65,156.0,0.0,1227.525,-2081.25,156.0,-697.7249999999999,None,RO,2026-04-23
2026-01-01 02:00:00+00:00,1801.425,579.125,74.325,1906.3,110.0,111.0,1222.3,-1831.975,-1.0,-610.675,None,RO,2026-04-23
2026-01-01 03:00:00+00:00,1950.8,581.125,27.725,1988.05,112.0,126.0,1369.675,-1960.325,-14.0,-604.6500000000001,None,RO,2026-04-23
2026-01-01 04:00:00+00:00,1914.6,428.225,31.2,2109.1499999999996,70.0,152.0,1486.375,-2077.95,-82.0,-673.5749999999998,None,RO,2026-04-23
2026-01-01 05:00:00+00:00,2036.725,475.15,7.7,1930.35,130.0,244.0,1561.5749999999998,-1922.6499999999999,-114.0,-475.07500000000005,None,RO,2026-04-23
2026-01-01 06:00:00+00:00,1660.725,390.525,20.525,1265.625,90.0,238.0,1270.1999999999998,-1245.1,-148.0,-122.90000000000009,None,RO,2026-04-23
2026-01-01 07:00:00+00:00,358.725,1055.675,1669.1,484.8,70.0,86.0,-696.9499999999999,1184.3,-16.0,471.35,None,RO,2026-04-23
2026-01-01 08:00:00+00:00,305.65,1806.475,2790.85,366.65,105.0,21.0,-1500.8249999999998,2424.2,84.0,1007.375,None,RO,2026-04-23
2026-01-01 09:00:00+00:00,377.075,1781.3,3054.7,574.55,181.0,0.0,-1404.225,2480.1499999999996,181.0,1256.9249999999997,None,RO,2026-04-23
2026-01-01 10:00:00+00:00,59.14999975,785.47499975,2366.025,463.1,165.0,0.0,-726.325,1902.9250000000002,165.0,1341.6000000000001,None,RO,2026-04-23
2026-01-01 11:00:00+00:00,63.4,634.25,2219.225,371.225,150.0,0.0,-570.85,1848.0,150.0,1427.15,None,RO,2026-04-23
2026-01-01 12:00:00+00:00,471.475,514.35,1427.5,296.975,186.0,0.0,-42.875,1130.525,186.0,1273.65,None,RO,2026-04-23
2026-01-01 13:00:00+00:00,1850.95,450.6,375.29999999999995,901.45,45.0,0.0,1400.35,-526.1500000000001,45.0,919.1999999999998,None,RO,2026-04-23
2026-01-01 14:00:00+00:00,2677.47499975,400.675,42.75,1996.6,45.0,0.0,2276.7999997499996,-1953.85,45.0,367.94999974999973,None,RO,2026-04-23
2026-01-01 15:00:00+00:00,2368.19999975,431.79999975,76.8,1510.275,45.0,304.0,1936.4,-1433.4750000000001,-259.0,243.92499999999995,None,RO,2026-04-23
2026-01-01 16:00:00+00:00,2212.5749997499997,395.025,40.025,1504.825,51.0,315.0,1817.5499997499996,-1464.8,-264.0,88.74999974999969,None,RO,2026-04-23
2026-01-01 17:00:00+00:00,2253.075,434.425,26.925,1562.425,95.0,314.0,1818.6499999999999,-1535.5,-219.0,64.14999999999986,None,RO,2026-04-23
2026-01-01 18:00:00+00:00,2614.47499975,444.375,39.375,1558.275,95.0,334.0,2170.09999975,-1518.9,-239.0,412.19999974999973,None,RO,2026-04-23
2026-01-01 19:00:00+00:00,2577.9,405.525,0.175,1255.175,101.0,339.0,2172.375,-1255.0,-238.0,679.375,None,RO,2026-04-23
2026-01-01 20:00:00+00:00,2803.2249997500003,407.5,2.5,1483.925,152.0,320.0,2395.7249997500003,-1481.425,-168.0,746.2999997500003,None,RO,2026-04-23
2026-01-01 21:00:00+00:00,2545.325,405.0,0.0,1095.325,179.0,300.0,2140.325,-1095.325,-121.0,923.9999999999998,None,RO,2026-04-23
2026-01-01 22:00:00+00:00,2809.525,409.525,4.525,1184.975,243.0,250.0,2400.0,-1180.4499999999998,-7.0,1212.5500000000002,None,RO,2026-04-23
2026-01-01 23:00:00+00:00,2624.975,494.0,113.425,1334.775,235.0,0.0,2130.975,-1221.3500000000001,235.0,1144.6249999999998,None,RO,2026-04-23
2026-01-02 00:00:00+00:00,2681.625,455.0,129.925,1295.225,198.0,0.0,2226.625,-1165.3,198.0,1259.325,None,RO,2026-04-23
2026-01-02 01:00:00+00:00,2810.0,416.425,52.05,1431.5,134.0,0.0,2393.575,-1379.45,134.0,1148.1249999999998,None,RO,2026-04-23
2026-01-02 02:00:00+00:00,2769.0,445.2,82.44999999999999,1441.625,168.0,0.0,2323.8,-1359.175,168.0,1132.6250000000002,None,RO,2026-04-23
2026-01-02 03:00:00+00:00,2638.0,453.15,50.775000000000006,1381.1,133.0,0.0,2184.85,-1330.3249999999998,133.0,987.5250000000001,None,RO,2026-04-23
2026-01-02 04:00:00+00:00,2551.875,433.425,5.025,1412.95,128.0,0.0,2118.45,-1407.925,128.0,838.5249999999999,None,RO,2026-04-23
2026-01-02 05:00:00+00:00,2457.2,399.25,24.9,1324.775,105.0,16.0,2057.95,-1299.875,89.0,847.0749999999998,None,RO,2026-04-23
2026-01-02 06:00:00+00:00,2224.275,569.3,134.075,1401.1000000000001,130.0,0.0,1654.9750000000001,-1267.025,130.0,517.95,None,RO,2026-04-23
2026-01-02 07:00:00+00:00,532.1,692.025,498.15,72.325,170.0,0.0,-159.92499999999995,425.825,170.0,435.90000000000003,None,RO,2026-04-23
2026-01-02 08:00:00+00:00,0.0,1226.0500000000002,1652.75,40.724999999999994,200.0,0.0,-1226.0500000000002,1612.025,200.0,585.9749999999999,None,RO,2026-04-23
2026-01-02 09:00:00+00:00,28.4,1649.84999975,2309.0,225.05,208.0,0.0,-1621.44999975,2083.95,208.0,670.5000002499999,None,RO,2026-04-23
2026-01-02 10:00:00+00:00,106.05,1864.0,2611.6,326.75,176.0,0.0,-1757.95,2284.85,176.0,702.8999999999999,None,RO,2026-04-23
2026-01-02 11:00:00+00:00,204.65,1738.15,2232.35,499.05,198.0,0.0,-1533.5,1733.3,198.0,397.79999999999995,None,RO,2026-04-23
2026-01-02 12:00:00+00:00,206.75,1439.95,1688.15,515.075,180.0,0.0,-1233.2,1173.075,180.0,119.875,None,RO,2026-04-23
2026-01-02 13:00:00+00:00,272.3,615.65,282.90000000000003,171.475,105.0,0.0,-343.34999999999997,111.42500000000004,105.0,-126.92499999999993,None,RO,2026-04-23
