,GR_BG,BG_GR,GR_MK,MK_GR,GR_IT_SUD,IT_SUD_GR,GR_BG_net_export,GR_MK_net_export,GR_IT_SUD_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,413.85,0.0,464.0,0.0,500.0,0.0,413.85,464.0,500.0,1377.85,None,GR,2026-04-23
2026-01-01 01:00:00+00:00,177.8,118.60000000000001,457.0,0.0,500.0,0.0,59.2,457.0,500.0,1016.2,None,GR,2026-04-23
2026-01-01 02:00:00+00:00,72.95,253.95,463.0,0.0,500.0,0.0,-181.0,463.0,500.0,782.0,None,GR,2026-04-23
2026-01-01 03:00:00+00:00,58.4,512.6,429.0,0.0,500.0,0.0,-454.20000000000005,429.0,500.0,474.79999999999995,None,GR,2026-04-23
2026-01-01 04:00:00+00:00,43.275,524.8,393.0,0.0,500.0,0.0,-481.525,393.0,500.0,411.475,None,GR,2026-04-23
2026-01-01 05:00:00+00:00,23.775,830.95,352.0,0.0,500.0,0.0,-807.1750000000001,352.0,500.0,44.82499999999993,None,GR,2026-04-23
2026-01-01 06:00:00+00:00,23.275,683.675,321.0,0.0,500.0,0.0,-660.4,321.0,500.0,160.60000000000002,None,GR,2026-04-23
2026-01-01 07:00:00+00:00,368.325,98.125,326.0,0.0,500.0,0.0,270.2,326.0,500.0,1096.2,None,GR,2026-04-23
2026-01-01 08:00:00+00:00,678.15,7.875,316.0,5.0,500.0,0.0,670.275,311.0,500.0,1481.275,None,GR,2026-04-23
2026-01-01 09:00:00+00:00,808.3,35.625,324.0,5.0,500.0,0.0,772.675,319.0,500.0,1591.675,None,GR,2026-04-23
2026-01-01 10:00:00+00:00,885.525,13.575,301.0,5.0,500.0,42.0,871.9499999999999,296.0,458.0,1625.9499999999998,None,GR,2026-04-23
2026-01-01 11:00:00+00:00,796.925,44.85,313.0,5.0,500.0,0.0,752.0749999999999,308.0,500.0,1560.0749999999998,None,GR,2026-04-23
2026-01-01 12:00:00+00:00,343.8,89.475,382.0,5.0,500.0,0.0,254.32500000000002,377.0,500.0,1131.325,None,GR,2026-04-23
2026-01-01 13:00:00+00:00,152.9,621.8249999999999,445.0,0.0,500.0,0.0,-468.92499999999995,445.0,500.0,476.07500000000005,None,GR,2026-04-23
2026-01-01 14:00:00+00:00,104.55,1355.05,443.0,0.0,501.0,1.0,-1250.5,443.0,500.0,-307.5,None,GR,2026-04-23
2026-01-01 15:00:00+00:00,87.8,1415.825,402.0,0.0,298.0,350.0,-1328.025,402.0,-52.0,-978.0250000000001,None,GR,2026-04-23
2026-01-01 16:00:00+00:00,43.55,1424.1,405.0,0.0,250.0,350.0,-1380.55,405.0,-100.0,-1075.55,None,GR,2026-04-23
2026-01-01 17:00:00+00:00,52.35,1419.15,394.0,0.0,272.0,236.0,-1366.8000000000002,394.0,36.0,-936.8000000000002,None,GR,2026-04-23
2026-01-01 18:00:00+00:00,180.9,1415.7,384.0,0.0,174.0,374.0,-1234.8,384.0,-200.0,-1050.8,None,GR,2026-04-23
2026-01-01 19:00:00+00:00,96.575,1415.775,411.0,0.0,258.0,500.0,-1319.2,411.0,-242.0,-1150.2,None,GR,2026-04-23
2026-01-01 20:00:00+00:00,51.7,1413.025,441.0,0.0,252.0,275.0,-1361.325,441.0,-23.0,-943.325,None,GR,2026-04-23
2026-01-01 21:00:00+00:00,29.1,1259.55,470.0,0.0,322.0,48.0,-1230.45,470.0,274.0,-486.45000000000005,None,GR,2026-04-23
2026-01-01 22:00:00+00:00,68.575,1411.0,448.0,0.0,512.0,53.0,-1342.425,448.0,459.0,-435.42499999999995,None,GR,2026-04-23
2026-01-01 23:00:00+00:00,21.35,1248.2,300.0,80.0,500.0,10.0,-1226.8500000000001,220.0,490.0,-516.8500000000001,None,GR,2026-04-23
2026-01-02 00:00:00+00:00,0.0,1332.15,281.0,90.0,500.0,0.0,-1332.15,191.0,500.0,-641.1500000000001,None,GR,2026-04-23
2026-01-02 01:00:00+00:00,0.0,1228.075,202.0,90.0,500.0,0.0,-1228.075,112.0,500.0,-616.075,None,GR,2026-04-23
2026-01-02 02:00:00+00:00,0.0,1100.55,170.0,90.0,500.0,0.0,-1100.55,80.0,500.0,-520.55,None,GR,2026-04-23
2026-01-02 03:00:00+00:00,0.0,999.7,146.0,90.0,500.0,0.0,-999.7,56.0,500.0,-443.70000000000005,None,GR,2026-04-23
2026-01-02 04:00:00+00:00,5.025,1081.075,137.0,90.0,500.0,0.0,-1076.05,47.0,500.0,-529.05,None,GR,2026-04-23
2026-01-02 05:00:00+00:00,0.0,1169.125,120.0,0.0,500.0,0.0,-1169.125,120.0,500.0,-549.125,None,GR,2026-04-23
2026-01-02 06:00:00+00:00,149.8,761.225,130.0,0.0,500.0,57.0,-611.425,130.0,443.0,-38.424999999999955,None,GR,2026-04-23
2026-01-02 07:00:00+00:00,129.55,346.32500000000005,354.0,0.0,500.0,11.0,-216.77500000000003,354.0,489.0,626.2249999999999,None,GR,2026-04-23
2026-01-02 08:00:00+00:00,133.7,0.0,397.0,0.0,500.0,0.0,133.7,397.0,500.0,1030.7,None,GR,2026-04-23
2026-01-02 09:00:00+00:00,517.775,3.625,439.0,0.0,500.0,28.0,514.15,439.0,472.0,1425.15,None,GR,2026-04-23
