,BG_GR,GR_BG,BG_MK,MK_BG,BG_RO,RO_BG,BG_RS,RS_BG,BG_GR_net_export,BG_MK_net_export,BG_RO_net_export,BG_RS_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,413.85,50.0,0.0,479.54999999999995,1425.375,375.0,0.0,-413.85,50.0,-945.825,375.0,-934.6750000000002,None,BG,2026-04-23
2026-01-01 01:00:00+00:00,118.60000000000001,177.8,49.0,0.0,441.1,1668.625,342.0,0.0,-59.2,49.0,-1227.525,342.0,-895.7250000000001,None,BG,2026-04-23
2026-01-01 02:00:00+00:00,253.95,72.95,49.0,0.0,579.125,1801.425,277.0,0.0,181.0,49.0,-1222.3,277.0,-715.3,None,BG,2026-04-23
2026-01-01 03:00:00+00:00,512.6,58.4,49.0,0.0,581.125,1950.8,245.0,50.0,454.20000000000005,49.0,-1369.675,195.0,-671.4749999999999,None,BG,2026-04-23
2026-01-01 04:00:00+00:00,524.8,43.275,49.0,0.0,428.225,1914.6,221.0,0.0,481.525,49.0,-1486.375,221.0,-734.85,None,BG,2026-04-23
2026-01-01 05:00:00+00:00,830.95,23.775,29.0,0.0,475.15,2036.725,167.0,166.0,807.1750000000001,29.0,-1561.5749999999998,1.0,-724.3999999999997,None,BG,2026-04-23
2026-01-01 06:00:00+00:00,683.675,23.275,24.0,0.0,390.525,1660.725,192.0,26.0,660.4,24.0,-1270.1999999999998,166.0,-419.79999999999984,None,BG,2026-04-23
2026-01-01 07:00:00+00:00,98.125,368.325,2.0,0.0,1055.675,358.725,208.0,20.0,-270.2,2.0,696.9499999999999,188.0,616.75,None,BG,2026-04-23
2026-01-01 08:00:00+00:00,7.875,678.15,0.0,0.0,1806.475,305.65,260.0,25.0,-670.275,0.0,1500.8249999999998,235.0,1065.5499999999997,None,BG,2026-04-23
2026-01-01 09:00:00+00:00,35.625,808.3,0.0,0.0,1781.3,377.075,289.0,34.0,-772.675,0.0,1404.225,255.0,886.55,None,BG,2026-04-23
2026-01-01 10:00:00+00:00,13.575,885.525,0.0,0.0,785.47499975,59.14999975,257.0,23.0,-871.9499999999999,0.0,726.325,234.0,88.37500000000011,None,BG,2026-04-23
2026-01-01 11:00:00+00:00,44.85,796.925,0.0,0.0,634.25,63.4,295.0,5.0,-752.0749999999999,0.0,570.85,290.0,108.77500000000009,None,BG,2026-04-23
2026-01-01 12:00:00+00:00,89.475,343.8,0.0,0.0,514.35,471.475,235.0,5.0,-254.32500000000002,0.0,42.875,230.0,18.549999999999983,None,BG,2026-04-23
2026-01-01 13:00:00+00:00,621.8249999999999,152.9,2.0,0.0,450.6,1850.95,259.0,0.0,468.92499999999995,2.0,-1400.35,259.0,-670.425,None,BG,2026-04-23
2026-01-01 14:00:00+00:00,1355.05,104.55,22.0,0.0,400.675,2677.47499975,156.0,0.0,1250.5,22.0,-2276.7999997499996,156.0,-848.2999997499996,None,BG,2026-04-23
2026-01-01 15:00:00+00:00,1415.825,87.8,30.0,0.0,431.79999975,2368.19999975,158.0,200.0,1328.025,30.0,-1936.4,-42.0,-620.375,None,BG,2026-04-23
2026-01-01 16:00:00+00:00,1424.1,43.55,32.0,0.0,395.025,2212.5749997499997,190.0,250.0,1380.55,32.0,-1817.5499997499996,-60.0,-464.9999997499997,None,BG,2026-04-23
2026-01-01 17:00:00+00:00,1419.15,52.35,35.0,0.0,434.425,2253.075,181.0,350.0,1366.8000000000002,35.0,-1818.6499999999999,-169.0,-585.8499999999997,None,BG,2026-04-23
2026-01-01 18:00:00+00:00,1415.7,180.9,39.0,0.0,444.375,2614.47499975,160.0,100.0,1234.8,39.0,-2170.09999975,60.0,-836.2999997499999,None,BG,2026-04-23
2026-01-01 19:00:00+00:00,1415.775,96.575,37.0,0.0,405.525,2577.9,162.0,382.0,1319.2,37.0,-2172.375,-220.0,-1036.175,None,BG,2026-04-23
2026-01-01 20:00:00+00:00,1413.025,51.7,36.0,0.0,407.5,2803.2249997500003,176.0,100.0,1361.325,36.0,-2395.7249997500003,76.0,-922.3999997500002,None,BG,2026-04-23
