,ES_FR,FR_ES,ES_PT,PT_ES,ES_FR_net_export,ES_PT_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,1900.0,21.025,68.5,-1900.0,-47.475,-1947.475,None,ES,2026-04-23
2026-01-01 01:00:00+00:00,6.25,1900.15,0.0,205.75,-1893.9,-205.75,-2099.65,None,ES,2026-04-23
2026-01-01 02:00:00+00:00,4.775,1900.0,351.6,0.0,-1895.225,351.6,-1543.625,None,ES,2026-04-23
2026-01-01 03:00:00+00:00,0.2,1900.0,703.275,0.0,-1899.8,703.275,-1196.525,None,ES,2026-04-23
2026-01-01 04:00:00+00:00,0.30000000000000004,1900.0,944.6,0.0,-1899.7,944.6,-955.1,None,ES,2026-04-23
2026-01-01 05:00:00+00:00,0.0,1900.0,736.8,0.0,-1900.0,736.8,-1163.2,None,ES,2026-04-23
2026-01-01 06:00:00+00:00,0.0,1900.0,178.925,0.0,-1900.0,178.925,-1721.075,None,ES,2026-04-23
2026-01-01 07:00:00+00:00,103.0,1901.1,530.775,0.0,-1798.1,530.775,-1267.3249999999998,None,ES,2026-04-23
2026-01-01 08:00:00+00:00,93.775,1900.0,888.9,0.0,-1806.225,888.9,-917.3249999999999,None,ES,2026-04-23
2026-01-01 09:00:00+00:00,0.0,1900.0,1347.775,0.0,-1900.0,1347.775,-552.2249999999999,None,ES,2026-04-23
2026-01-01 10:00:00+00:00,0.0,1900.0,1704.7,0.0,-1900.0,1704.7,-195.29999999999995,None,ES,2026-04-23
2026-01-01 11:00:00+00:00,0.0,1900.0,1905.85,0.0,-1900.0,1905.85,5.849999999999909,None,ES,2026-04-23
2026-01-01 12:00:00+00:00,0.0,1900.0,1881.9,0.0,-1900.0,1881.9,-18.09999999999991,None,ES,2026-04-23
2026-01-01 13:00:00+00:00,0.0,1900.0,1508.05,0.0,-1900.0,1508.05,-391.95000000000005,None,ES,2026-04-23
2026-01-01 14:00:00+00:00,0.0,1900.0,1556.175,0.0,-1900.0,1556.175,-343.82500000000005,None,ES,2026-04-23
2026-01-01 15:00:00+00:00,8.725,1871.075,453.05,151.7,-1862.3500000000001,301.35,-1561.0,None,ES,2026-04-23
2026-01-01 16:00:00+00:00,0.0,1900.0,0.0,1099.2,-1900.0,-1099.2,-2999.2,None,ES,2026-04-23
2026-01-01 17:00:00+00:00,0.0,1900.0,0.0,2134.7,-1900.0,-2134.7,-4034.7,None,ES,2026-04-23
2026-01-01 18:00:00+00:00,0.0,1900.0,0.0,2319.575,-1900.0,-2319.575,-4219.575,None,ES,2026-04-23
2026-01-01 19:00:00+00:00,0.0,1900.0,0.0,2477.5,-1900.0,-2477.5,-4377.5,None,ES,2026-04-23
2026-01-01 20:00:00+00:00,0.0,1900.0,0.0,2394.825,-1900.0,-2394.825,-4294.825,None,ES,2026-04-23
2026-01-01 21:00:00+00:00,0.0,1900.0,0.0,2311.0499999999997,-1900.0,-2311.0499999999997,-4211.049999999999,None,ES,2026-04-23
2026-01-01 22:00:00+00:00,185.35,1900.0,0.0,1575.875,-1714.65,-1575.875,-3290.525,None,ES,2026-04-23
2026-01-01 23:00:00+00:00,0.0,1900.0,262.70000000000005,110.95,-1900.0,151.75000000000006,-1748.25,None,ES,2026-04-23
2026-01-02 00:00:00+00:00,104.175,1900.0,944.675,0.0,-1795.825,944.675,-851.1500000000001,None,ES,2026-04-23
2026-01-02 01:00:00+00:00,120.275,1900.0,710.225,0.0,-1779.725,710.225,-1069.5,None,ES,2026-04-23
2026-01-02 02:00:00+00:00,29.450000000000003,1900.0,361.975,0.0,-1870.55,361.975,-1508.5749999999998,None,ES,2026-04-23
2026-01-02 03:00:00+00:00,379.95000000000005,1900.0,300.175,0.0,-1520.05,300.175,-1219.875,None,ES,2026-04-23
2026-01-02 04:00:00+00:00,309.2,1900.0,207.175,0.0,-1590.8,207.175,-1383.625,None,ES,2026-04-23
2026-01-02 05:00:00+00:00,0.0,1900.0,79.825,27.85,-1900.0,51.975,-1848.025,None,ES,2026-04-23
2026-01-02 06:00:00+00:00,481.275,1900.0,0.0,1328.2,-1418.725,-1328.2,-2746.925,None,ES,2026-04-23
2026-01-02 07:00:00+00:00,168.825,1745.65,0.0,2114.45,-1576.825,-2114.45,-3691.2749999999996,None,ES,2026-04-23
2026-01-02 08:00:00+00:00,341.425,978.875,0.0,2013.9250000000002,-637.45,-2013.9250000000002,-2651.375,None,ES,2026-04-23
2026-01-02 09:00:00+00:00,633.3,528.225,0.0,1327.45,105.07499999999993,-1327.45,-1222.375,None,ES,2026-04-23
2026-01-02 10:00:00+00:00,651.675,711.325,0.0,473.47499999999997,-59.65000000000009,-473.47499999999997,-533.125,None,ES,2026-04-23
2026-01-02 11:00:00+00:00,962.5500000000001,477.15,23.775000000000002,197.925,485.4000000000001,-174.15,311.2500000000001,None,ES,2026-04-23
2026-01-02 12:00:00+00:00,395.15,1978.6,191.6,0.0,-1583.4499999999998,191.6,-1391.85,None,ES,2026-04-23
2026-01-02 13:00:00+00:00,80.95,1980.075,313.875,0.0,-1899.125,313.875,-1585.25,None,ES,2026-04-23
2026-01-02 14:00:00+00:00,163.65,2040.125,44.15,148.95,-1876.475,-104.79999999999998,-1981.2749999999999,None,ES,2026-04-23
2026-01-02 15:00:00+00:00,184.075,2220.875,0.0,1138.275,-2036.8,-1138.275,-3175.075,None,ES,2026-04-23
2026-01-02 16:00:00+00:00,776.85,1706.8,0.0,2126.775,-929.9499999999999,-2126.775,-3056.725,None,ES,2026-04-23
2026-01-02 17:00:00+00:00,133.625,2165.5,0.0,2500.0,-2031.875,-2500.0,-4531.875,None,ES,2026-04-23
2026-01-02 18:00:00+00:00,22.95,3278.2,0.0,1998.775,-3255.25,-1998.775,-5254.025,None,ES,2026-04-23
2026-01-02 19:00:00+00:00,89.80000000000001,3756.675,0.0,1518.8999999999999,-3666.875,-1518.8999999999999,-5185.775,None,ES,2026-04-23
2026-01-02 20:00:00+00:00,56.475,3586.925,0.0,1667.225,-3530.4500000000003,-1667.225,-5197.675,None,ES,2026-04-23
2026-01-02 21:00:00+00:00,419.775,3497.875,0.0,1406.1,-3078.1,-1406.1,-4484.2,None,ES,2026-04-23
2026-01-02 22:00:00+00:00,1182.75,3674.65,0.0,943.575,-2491.9,-943.575,-3435.4750000000004,None,ES,2026-04-23
2026-01-02 23:00:00+00:00,414.575,1433.15,0.0,774.275,-1018.575,-774.275,-1792.85,None,ES,2026-04-23
2026-01-03 00:00:00+00:00,1046.35,717.975,0.0,1012.4749999999999,328.3749999999999,-1012.4749999999999,-684.1,None,ES,2026-04-23
2026-01-03 01:00:00+00:00,1875.075,908.6500000000001,0.0,1054.075,966.425,-1054.075,-87.65000000000009,None,ES,2026-04-23
2026-01-03 02:00:00+00:00,1927.05,1276.975,0.0,1104.75,650.075,-1104.75,-454.67499999999995,None,ES,2026-04-23
2026-01-03 03:00:00+00:00,2036.8999999999999,1276.45,0.0,1276.05,760.4499999999998,-1276.05,-515.6000000000001,None,ES,2026-04-23
2026-01-03 04:00:00+00:00,2148.1,1247.3,0.0,1518.425,900.8,-1518.425,-617.625,None,ES,2026-04-23
2026-01-03 05:00:00+00:00,1739.6750000000002,1562.625,0.0,1434.5,177.05000000000018,-1434.5,-1257.4499999999998,None,ES,2026-04-23
2026-01-03 06:00:00+00:00,1287.1,1185.475,0.0,1609.25,101.625,-1609.25,-1507.625,None,ES,2026-04-23
2026-01-03 07:00:00+00:00,288.525,1451.225,0.0,1962.025,-1162.6999999999998,-1962.025,-3124.725,None,ES,2026-04-23
2026-01-03 08:00:00+00:00,41.575,925.575,0.0,2440.375,-884.0,-2440.375,-3324.375,None,ES,2026-04-23
