,HR_BA,BA_HR,HR_HU,HU_HR,HR_RS,RS_HR,HR_SI,SI_HR,HR_BA_net_export,HR_HU_net_export,HR_RS_net_export,HR_SI_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,500.0,0.0,865.75,1017.575,461.0,0.0,63.55,1584.5749999999998,500.0,-151.82500000000005,461.0,-1521.0249999999999,-711.8499999999999,None,HR,2026-04-23
2026-01-01 01:00:00+00:00,500.0,0.0,1848.25,668.2750000000001,461.0,0.0,58.325,2808.55,500.0,1179.975,461.0,-2750.2250000000004,-609.2500000000005,None,HR,2026-04-23
2026-01-01 02:00:00+00:00,500.0,0.0,25.325000000000003,1256.5,461.0,0.0,49.675,391.125,500.0,-1231.175,461.0,-341.45,-611.625,None,HR,2026-04-23
2026-01-01 03:00:00+00:00,500.0,0.0,1427.925,525.9,300.0,0.0,47.0,2333.025,500.0,902.025,300.0,-2286.025,-584.0,None,HR,2026-04-23
2026-01-01 04:00:00+00:00,500.0,0.0,990.4749999999999,712.5,321.0,0.0,49.275,1602.2749999999999,500.0,277.9749999999999,321.0,-1552.9999999999998,-454.02499999999986,None,HR,2026-04-23
2026-01-01 05:00:00+00:00,500.0,0.0,831.4,671.725,401.0,0.0,53.1,1572.3249999999998,500.0,159.67499999999995,401.0,-1519.225,-458.54999999999995,None,HR,2026-04-23
2026-01-01 06:00:00+00:00,420.0,0.0,176.02499999999998,725.625,401.0,0.0,52.175,814.525,420.0,-549.6,401.0,-762.35,-490.95000000000005,None,HR,2026-04-23
2026-01-01 07:00:00+00:00,413.0,0.0,284.35,609.975,375.0,0.0,51.45,1062.375,413.0,-325.625,375.0,-1010.925,-548.55,None,HR,2026-04-23
2026-01-01 08:00:00+00:00,500.0,0.0,0.0,1150.5,346.0,0.0,79.325,429.5,500.0,-1150.5,346.0,-350.175,-654.675,None,HR,2026-04-23
2026-01-01 09:00:00+00:00,500.0,0.0,3.0500000000000003,1172.325,329.0,0.0,126.72500000000001,378.225,500.0,-1169.275,329.0,-251.5,-591.7750000000001,None,HR,2026-04-23
