,NO_1_NO_2,NO_2_NO_1,NO_1_NO_3,NO_3_NO_1,NO_1_NO_5,NO_5_NO_1,NO_1_SE_3,SE_3_NO_1,NO_1_NO_2_net_export,NO_1_NO_3_net_export,NO_1_NO_5_net_export,NO_1_SE_3_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,3.775,6.125,0.0,3225.75,0.0,626.45,1265.4,0.0,-2.35,-3225.75,-626.45,1265.4,-2589.15,None,NO_1,2026-04-23
2026-01-01 01:00:00+00:00,0.175,451.125,134.875,1055.075,72.625,116.55,0.0,1229.075,-450.95,-920.2,-43.925,-1229.075,-2644.15,None,NO_1,2026-04-23
2026-01-01 02:00:00+00:00,0.05,297.85,0.0,3884.75,7.625,436.225,1810.725,0.0,-297.8,-3884.75,-428.6,1810.725,-2800.4250000000006,None,NO_1,2026-04-23
2026-01-01 03:00:00+00:00,0.0,244.775,438.15,1313.95,0.0,879.675,0.0,874.575,-244.775,-875.8000000000001,-879.675,-874.575,-2874.825,None,NO_1,2026-04-23
2026-01-01 04:00:00+00:00,0.05,303.075,124.35,3341.625,15.5,83.85,1465.075,871.875,-303.025,-3217.275,-68.35,593.2,-2995.45,None,NO_1,2026-04-23
2026-01-01 05:00:00+00:00,17.1,685.2,208.875,1403.875,0.0,1412.25,735.9,543.8,-668.1,-1195.0,-1412.25,192.10000000000002,-3083.25,None,NO_1,2026-04-23
2026-01-01 06:00:00+00:00,0.0,1328.3,57.775,1426.475,0.0,0.0,0.0,541.55,-1328.3,-1368.6999999999998,0.0,-541.55,-3238.55,None,NO_1,2026-04-23
2026-01-01 07:00:00+00:00,0.0,1105.775,0.0,2765.5,0.0,340.275,844.6,0.0,-1105.775,-2765.5,-340.275,844.6,-3366.9500000000003,None,NO_1,2026-04-23
2026-01-01 08:00:00+00:00,0.0,1044.925,325.275,1507.15,14.725,225.375,890.1,1819.65,-1044.925,-1181.875,-210.65,-929.5500000000001,-3367.0000000000005,None,NO_1,2026-04-23
2026-01-01 09:00:00+00:00,0.0,708.15,0.0,3210.975,9.75,500.95,922.025,0.0,-708.15,-3210.975,-491.2,922.025,-3488.2999999999997,None,NO_1,2026-04-23
2026-01-01 10:00:00+00:00,0.0,424.9,0.0,3421.95,20.225,0.0,981.85,683.375,-424.9,-3421.95,20.225,298.475,-3528.15,None,NO_1,2026-04-23
2026-01-01 11:00:00+00:00,0.0,1211.1,247.3,1072.65,12.925,155.425,0.0,1312.1,-1211.1,-825.3500000000001,-142.5,-1312.1,-3491.0499999999997,None,NO_1,2026-04-23
2026-01-01 12:00:00+00:00,0.0,777.75,180.625,1297.55,19.575,369.325,0.0,1347.625,-777.75,-1116.925,-349.75,-1347.625,-3592.05,None,NO_1,2026-04-23
2026-01-01 13:00:00+00:00,0.0,749.075,132.225,1092.675,6.625,587.825,0.0,1335.5,-749.075,-960.4499999999999,-581.2,-1335.5,-3626.2250000000004,None,NO_1,2026-04-23
2026-01-01 14:00:00+00:00,1.7,925.8,107.825,1724.325,6.775,419.4,0.0,636.05,-924.0999999999999,-1616.5,-412.625,-636.05,-3589.2749999999996,None,NO_1,2026-04-23
2026-01-01 15:00:00+00:00,0.0,970.3,200.275,2576.7,4.575,442.125,1455.45,1270.65,-970.3,-2376.4249999999997,-437.55,184.79999999999995,-3599.4749999999995,None,NO_1,2026-04-23
2026-01-01 16:00:00+00:00,1.85,274.675,273.525,532.8,0.0,1186.075,0.0,1878.85,-272.825,-259.275,-1186.075,-1878.85,-3597.0249999999996,None,NO_1,2026-04-23
2026-01-01 17:00:00+00:00,0.0,1318.85,99.375,1494.925,0.0,213.65,0.0,561.325,-1318.85,-1395.55,-213.65,-561.325,-3489.375,None,NO_1,2026-04-23
2026-01-01 18:00:00+00:00,2.425,1074.75,230.0,926.275,0.0,476.95,0.0,1158.55,-1072.325,-696.275,-476.95,-1158.55,-3404.0999999999995,None,NO_1,2026-04-23
2026-01-01 19:00:00+00:00,0.0,1624.725,124.4,2826.45,74.55,14.85,1526.875,564.075,-1624.725,-2702.0499999999997,59.699999999999996,962.8,-3304.2749999999996,None,NO_1,2026-04-23
2026-01-01 20:00:00+00:00,0.0,1259.175,120.55,1308.575,105.425,378.6,0.0,565.7,-1259.175,-1188.025,-273.175,-565.7,-3286.075,None,NO_1,2026-04-23
